epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,552.989,0.7518,0.40512,0.87461,0.88609,0.90911,0.94247,0.7577,0.90528,0.47076,0.91994,0.000990365,0.000990365,0.000990365
43,565.898,0.7589,0.40263,0.87878,0.92542,0.84224,0.92756,0.72295,0.94468,0.51049,0.93266,0.000973861,0.000973861,0.000973861
44,578.92,0.7514,0.4011,0.87849,0.90126,0.81366,0.89583,0.71263,0.90541,0.48298,0.91995,0.000957358,0.000957358,0.000957358
45,592.221,0.74842,0.40017,0.87562,0.90924,0.84702,0.93202,0.73456,0.93231,0.46519,0.93054,0.000940855,0.000940855,0.000940855
46,605.063,0.75648,0.40184,0.87936,0.91426,0.83485,0.91086,0.7291,0.92269,0.4808,0.92254,0.000924352,0.000924352,0.000924352
47,618.096,0.7494,0.39969,0.87703,0.90251,0.90922,0.92416,0.73692,0.90779,0.51912,0.91829,0.000907848,0.000907848,0.000907848
48,631.23,0.7449,0.39443,0.87569,0.92839,0.88138,0.94675,0.75191,0.92371,0.48489,0.92451,0.000891345,0.000891345,0.000891345
49,644.229,0.74117,0.39219,0.87466,0.89115,0.90395,0.94252,0.74736,0.91629,0.47679,0.93018,0.000874842,0.000874842,0.000874842
50,657.075,0.74001,0.3906,0.87516,0.90243,0.90716,0.93826,0.74938,0.92032,0.47704,0.92849,0.000858338,0.000858338,0.000858338
51,670.36,0.73465,0.38735,0.87205,0.92377,0.88527,0.94113,0.75025,0.90692,0.47365,0.9226,0.000841835,0.000841835,0.000841835
52,683.814,0.73372,0.38799,0.87222,0.87842,0.91046,0.93416,0.74135,0.92167,0.48386,0.92782,0.000825332,0.000825332,0.000825332
53,696.751,0.73539,0.38742,0.87246,0.91337,0.865,0.92951,0.73798,0.94125,0.50945,0.9395,0.000808828,0.000808828,0.000808828
54,709.584,0.72588,0.38463,0.87143,0.91146,0.90214,0.94056,0.75123,0.91312,0.44912,0.92706,0.000792325,0.000792325,0.000792325
55,722.533,0.73446,0.38459,0.87233,0.90286,0.89845,0.93842,0.74802,0.9273,0.46783,0.92513,0.000775822,0.000775822,0.000775822
56,735.398,0.72788,0.38154,0.87086,0.93748,0.86068,0.93474,0.75665,0.91539,0.45164,0.92117,0.000759318,0.000759318,0.000759318
57,748.365,0.72398,0.37852,0.86912,0.90151,0.8963,0.94129,0.75052,0.92906,0.4588,0.92855,0.000742815,0.000742815,0.000742815
58,761.496,0.72417,0.37889,0.87033,0.91941,0.86515,0.92982,0.74133,0.90998,0.46573,0.92699,0.000726312,0.000726312,0.000726312
59,774.628,0.71906,0.37802,0.86818,0.92766,0.90523,0.95394,0.7627,0.92062,0.43963,0.92305,0.000709809,0.000709809,0.000709809
60,787.613,0.72315,0.37772,0.86865,0.93526,0.90689,0.94961,0.75858,0.93379,0.43582,0.92722,0.000693305,0.000693305,0.000693305
61,800.871,0.71692,0.37231,0.86678,0.89944,0.92028,0.94805,0.76364,0.91563,0.45984,0.92303,0.000676802,0.000676802,0.000676802
62,813.904,0.71774,0.37432,0.86594,0.91275,0.88644,0.93626,0.75202,0.91547,0.44029,0.92207,0.000660299,0.000660299,0.000660299
63,826.944,0.71659,0.37281,0.86611,0.91377,0.92757,0.94953,0.75142,0.93396,0.44086,0.92798,0.000643795,0.000643795,0.000643795
64,839.942,0.71392,0.37125,0.86568,0.90938,0.92441,0.94326,0.75521,0.93519,0.46563,0.9259,0.000627292,0.000627292,0.000627292
65,852.974,0.71291,0.37146,0.86539,0.91826,0.88737,0.93631,0.7497,0.91705,0.45886,0.91923,0.000610789,0.000610789,0.000610789
66,866.114,0.70982,0.36677,0.86536,0.88921,0.90736,0.93458,0.75098,0.91567,0.44358,0.92106,0.000594286,0.000594286,0.000594286
67,879.019,0.70959,0.36788,0.8642,0.88957,0.899,0.93671,0.75025,0.9228,0.45798,0.92453,0.000577782,0.000577782,0.000577782
68,892.042,0.70225,0.36306,0.86224,0.94064,0.83978,0.93627,0.75144,0.92383,0.4545,0.924,0.000561279,0.000561279,0.000561279
69,904.945,0.70623,0.36393,0.86572,0.92201,0.88004,0.94255,0.75679,0.94471,0.45385,0.92948,0.000544776,0.000544776,0.000544776
70,917.766,0.7009,0.36005,0.86305,0.92623,0.8959,0.94451,0.75712,0.94338,0.43889,0.93,0.000528272,0.000528272,0.000528272
71,930.592,0.70678,0.36271,0.86496,0.92322,0.88138,0.93091,0.74649,0.91993,0.45445,0.9247,0.000511769,0.000511769,0.000511769
72,943.425,0.70332,0.36287,0.86352,0.90467,0.90576,0.93505,0.74553,0.93953,0.48055,0.92691,0.000495266,0.000495266,0.000495266
73,956.261,0.69704,0.35766,0.86195,0.91407,0.91292,0.94476,0.75284,0.94199,0.47165,0.93105,0.000478762,0.000478762,0.000478762
74,969.123,0.6938,0.35715,0.86118,0.91164,0.91415,0.94757,0.76298,0.94024,0.45904,0.92991,0.000462259,0.000462259,0.000462259
75,982.001,0.69159,0.35592,0.86012,0.90083,0.90111,0.93523,0.74766,0.92322,0.47125,0.92744,0.000445756,0.000445756,0.000445756
76,994.885,0.69303,0.35465,0.86126,0.91565,0.89223,0.93517,0.75212,0.92301,0.46014,0.92561,0.000429253,0.000429253,0.000429253
77,1007.8,0.68413,0.35092,0.8598,0.93514,0.89729,0.9461,0.76407,0.91825,0.44321,0.92422,0.000412749,0.000412749,0.000412749
78,1020.58,0.68732,0.35063,0.85964,0.92347,0.90606,0.94446,0.75993,0.92494,0.45099,0.92887,0.000396246,0.000396246,0.000396246
