epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,3132.6,0.2288,0.31194,0.05164,0.88461,0.95326,0.95174,0.7454,0.29186,0.41072,0.0915,6.87222e-05,6.87222e-05,6.87222e-05
40,3212.18,0.22977,0.31342,0.05131,0.91998,0.88941,0.94307,0.74224,0.28887,0.40951,0.08993,6.72675e-05,6.72675e-05,6.72675e-05
41,3292.74,0.23033,0.30985,0.05234,0.93129,0.87166,0.92896,0.73308,0.28663,0.40253,0.08972,6.57963e-05,6.57963e-05,6.57963e-05
42,3372.92,0.23113,0.31234,0.05092,0.91948,0.88706,0.92646,0.72987,0.29181,0.40442,0.09138,6.43101e-05,6.43101e-05,6.43101e-05
43,3452.53,0.22595,0.30853,0.05043,0.91086,0.91397,0.93684,0.74186,0.28812,0.40913,0.08979,6.28101e-05,6.28101e-05,6.28101e-05
44,3532.39,0.22683,0.30716,0.05116,0.9065,0.91305,0.93625,0.74456,0.28722,0.40382,0.0883,6.12981e-05,6.12981e-05,6.12981e-05
45,3612.01,0.22658,0.30758,0.05069,0.91009,0.92732,0.94986,0.75464,0.28763,0.39855,0.08968,5.97754e-05,5.97754e-05,5.97754e-05
46,3691.68,0.22538,0.30703,0.05141,0.92419,0.91509,0.94696,0.75136,0.28994,0.40778,0.09045,5.82435e-05,5.82435e-05,5.82435e-05
47,3772.22,0.22351,0.30755,0.04938,0.92856,0.90997,0.94304,0.75222,0.28909,0.40909,0.08854,5.6704e-05,5.6704e-05,5.6704e-05
48,3853.31,0.22152,0.3034,0.05014,0.92663,0.88341,0.93727,0.73384,0.29139,0.40865,0.09022,5.51584e-05,5.51584e-05,5.51584e-05
49,3932.74,0.21921,0.30245,0.04932,0.93741,0.89926,0.94655,0.75402,0.2886,0.41139,0.08949,5.36081e-05,5.36081e-05,5.36081e-05
50,4012,0.22186,0.30406,0.04975,0.9133,0.91617,0.94245,0.74649,0.29386,0.41029,0.09161,5.20548e-05,5.20548e-05,5.20548e-05
51,4092.6,0.22223,0.30342,0.04867,0.91927,0.90869,0.94248,0.74876,0.28935,0.41128,0.0894,5.05e-05,5.05e-05,5.05e-05
52,4173.4,0.2181,0.29915,0.04798,0.93567,0.895,0.94865,0.7426,0.28662,0.40925,0.08811,4.89452e-05,4.89452e-05,4.89452e-05
53,4255.92,0.21893,0.30047,0.04886,0.93036,0.89634,0.94561,0.74284,0.28477,0.40358,0.08862,4.73919e-05,4.73919e-05,4.73919e-05
54,4335.44,0.21666,0.29761,0.04774,0.89993,0.92457,0.94767,0.75564,0.28652,0.40803,0.08875,4.58416e-05,4.58416e-05,4.58416e-05
55,4416.74,0.21793,0.2991,0.0481,0.9204,0.90582,0.94122,0.74395,0.29234,0.41383,0.09008,4.4296e-05,4.4296e-05,4.4296e-05
56,4496.13,0.21549,0.2959,0.04814,0.9276,0.9176,0.9518,0.75922,0.28921,0.41144,0.08807,4.27565e-05,4.27565e-05,4.27565e-05
57,4576.46,0.21553,0.2983,0.04807,0.90258,0.94949,0.94967,0.75482,0.28648,0.40351,0.08878,4.12246e-05,4.12246e-05,4.12246e-05
58,4656.15,0.21582,0.29835,0.04719,0.91448,0.90977,0.94184,0.7505,0.28754,0.41592,0.08861,3.97019e-05,3.97019e-05,3.97019e-05
59,4736.05,0.21377,0.29443,0.04783,0.93036,0.90817,0.94317,0.74897,0.29096,0.41425,0.08998,3.81899e-05,3.81899e-05,3.81899e-05
60,4816.27,0.21472,0.29517,0.04697,0.93495,0.90972,0.93938,0.74604,0.28981,0.4167,0.08955,3.66899e-05,3.66899e-05,3.66899e-05
61,4897.57,0.21221,0.29278,0.04632,0.94175,0.9156,0.94441,0.75216,0.28726,0.41325,0.08774,3.52037e-05,3.52037e-05,3.52037e-05
62,4976.92,0.21047,0.2921,0.04652,0.94042,0.91359,0.95242,0.7564,0.29076,0.41295,0.08878,3.37325e-05,3.37325e-05,3.37325e-05
63,5056.7,0.21054,0.29278,0.04713,0.92648,0.91993,0.93714,0.74529,0.28879,0.41074,0.08897,3.22778e-05,3.22778e-05,3.22778e-05
64,5136.4,0.2117,0.2932,0.04627,0.92443,0.92493,0.94709,0.75566,0.28963,0.40481,0.08925,3.08412e-05,3.08412e-05,3.08412e-05
