epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.76,0.7576,0.44408,0.88011,0.83514,0.81156,0.85267,0.68329,0.92963,0.56943,0.93013,0.000742625,0.000742625,0.000742625
43,595.899,0.76165,0.44157,0.88185,0.85989,0.79692,0.86034,0.69087,0.90304,0.5808,0.92082,0.00073025,0.00073025,0.00073025
44,609.226,0.75168,0.43811,0.87879,0.87801,0.75147,0.85171,0.68463,0.90775,0.58379,0.92473,0.000717875,0.000717875,0.000717875
45,622.578,0.75158,0.43856,0.87883,0.87631,0.77482,0.873,0.69523,0.93679,0.58443,0.93512,0.0007055,0.0007055,0.0007055
46,635.727,0.75451,0.43955,0.88005,0.87879,0.80806,0.87507,0.70299,0.90067,0.55046,0.91739,0.000693125,0.000693125,0.000693125
47,648.944,0.75117,0.43431,0.87747,0.86907,0.76987,0.84936,0.68386,0.90587,0.5704,0.92508,0.00068075,0.00068075,0.00068075
48,662.133,0.74765,0.42914,0.87798,0.85425,0.81254,0.87352,0.70721,0.88981,0.55417,0.91762,0.000668375,0.000668375,0.000668375
49,675.251,0.74414,0.42837,0.87716,0.83729,0.81038,0.86296,0.69577,0.92006,0.56311,0.92484,0.000656,0.000656,0.000656
50,688.437,0.74348,0.42469,0.87822,0.8298,0.84836,0.86331,0.69512,0.91215,0.55317,0.92228,0.000643625,0.000643625,0.000643625
51,702.155,0.73931,0.42327,0.8749,0.85605,0.82676,0.87611,0.70774,0.90852,0.55154,0.92072,0.00063125,0.00063125,0.00063125
52,715.696,0.73534,0.41958,0.87528,0.8805,0.7743,0.8616,0.69385,0.89938,0.55773,0.91551,0.000618875,0.000618875,0.000618875
53,728.942,0.73613,0.41849,0.87367,0.84626,0.8121,0.86817,0.68969,0.9259,0.55569,0.92309,0.0006065,0.0006065,0.0006065
54,742.124,0.72852,0.41656,0.87126,0.8609,0.77731,0.86414,0.69262,0.92333,0.56921,0.92803,0.000594125,0.000594125,0.000594125
55,755.205,0.73052,0.41527,0.87458,0.84556,0.82092,0.86563,0.69586,0.90858,0.55306,0.92026,0.00058175,0.00058175,0.00058175
56,768.556,0.73087,0.4124,0.87326,0.86634,0.80324,0.87237,0.71031,0.89531,0.54878,0.91694,0.000569375,0.000569375,0.000569375
57,782.105,0.73217,0.4145,0.87264,0.8433,0.80595,0.85968,0.685,0.93026,0.56576,0.92788,0.000557,0.000557,0.000557
58,796.228,0.72748,0.41058,0.8711,0.84757,0.84474,0.88152,0.71154,0.90679,0.55413,0.92172,0.000544625,0.000544625,0.000544625
59,810.816,0.72245,0.4085,0.87131,0.85119,0.80821,0.86519,0.69636,0.92404,0.57415,0.92798,0.00053225,0.00053225,0.00053225
60,824.332,0.71955,0.40708,0.86901,0.86144,0.80915,0.86843,0.69774,0.90932,0.57638,0.92381,0.000519875,0.000519875,0.000519875
61,837.709,0.72012,0.40374,0.86925,0.87695,0.78986,0.87007,0.70085,0.88949,0.55682,0.91145,0.0005075,0.0005075,0.0005075
62,851.156,0.72198,0.40277,0.87066,0.87216,0.81204,0.86878,0.6959,0.91778,0.54268,0.92089,0.000495125,0.000495125,0.000495125
63,864.631,0.71457,0.4001,0.86781,0.85022,0.79591,0.84838,0.68398,0.9033,0.559,0.91443,0.00048275,0.00048275,0.00048275
64,878.452,0.71708,0.39784,0.86844,0.8401,0.80884,0.8635,0.69535,0.9095,0.56063,0.92047,0.000470375,0.000470375,0.000470375
65,891.984,0.7115,0.39687,0.86864,0.88229,0.77724,0.85318,0.68315,0.9225,0.56703,0.92205,0.000458,0.000458,0.000458
66,905.8,0.70702,0.39245,0.86785,0.87,0.80459,0.86366,0.70419,0.89118,0.54303,0.91505,0.000445625,0.000445625,0.000445625
67,919.845,0.70925,0.39359,0.86735,0.87389,0.80576,0.86848,0.70442,0.89261,0.54956,0.91737,0.00043325,0.00043325,0.00043325
68,933.637,0.7062,0.39112,0.86632,0.87564,0.79821,0.87719,0.71409,0.89876,0.53502,0.92144,0.000420875,0.000420875,0.000420875
69,946.745,0.69773,0.38723,0.86542,0.87009,0.81136,0.86477,0.70259,0.89275,0.54249,0.91591,0.0004085,0.0004085,0.0004085
70,959.873,0.7045,0.39102,0.86722,0.87088,0.79388,0.85843,0.69094,0.90639,0.53645,0.92341,0.000396125,0.000396125,0.000396125
71,973.227,0.70479,0.38775,0.86703,0.89466,0.79618,0.86551,0.70237,0.89612,0.53355,0.91969,0.00038375,0.00038375,0.00038375
72,986.501,0.69127,0.38047,0.86318,0.85551,0.7804,0.85305,0.69084,0.89931,0.54482,0.92018,0.000371375,0.000371375,0.000371375
73,999.61,0.69866,0.3843,0.8651,0.84318,0.81417,0.85922,0.69757,0.89758,0.54129,0.91859,0.000359,0.000359,0.000359
74,1012.75,0.69217,0.38026,0.86349,0.86445,0.78518,0.8478,0.6853,0.91528,0.54823,0.92096,0.000346625,0.000346625,0.000346625
75,1025.88,0.69433,0.37938,0.8631,0.88913,0.76192,0.8455,0.68042,0.91246,0.5488,0.92133,0.00033425,0.00033425,0.00033425
76,1039.27,0.69488,0.37965,0.86252,0.86815,0.77007,0.84825,0.68891,0.88191,0.55725,0.91237,0.000321875,0.000321875,0.000321875
77,1053.26,0.69034,0.37636,0.86282,0.85534,0.79325,0.86128,0.6973,0.90028,0.54654,0.91505,0.0003095,0.0003095,0.0003095
78,1068.19,0.68754,0.37411,0.86221,0.86893,0.80202,0.86734,0.69885,0.88911,0.5355,0.91593,0.000297125,0.000297125,0.000297125
79,1081.75,0.68918,0.37275,0.86274,0.8792,0.7924,0.86537,0.70266,0.89084,0.53951,0.91592,0.00028475,0.00028475,0.00028475
80,1095.32,0.68869,0.37381,0.86195,0.8525,0.79411,0.85381,0.69099,0.89576,0.54723,0.91424,0.000272375,0.000272375,0.000272375
81,1108.61,0.68335,0.37067,0.85972,0.83424,0.80654,0.8556,0.6906,0.91138,0.55461,0.91785,0.00026,0.00026,0.00026
82,1121.9,0.68055,0.36876,0.85868,0.88468,0.77683,0.86085,0.69198,0.91051,0.54641,0.92017,0.000247625,0.000247625,0.000247625
